Region,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
Frontal Opercular Cortex,9.635183e-05,0.0010138558,0.0009974006,0.00018706314,0.00024989224,0.0011098118,0.0035729397,0.0003961982,0.0023031572,7.680267e-05,0.0012191545,0.0010876997,0.0014880659,0.0026523387,0.0031758004,0.0003933982
Subcallosal Cortex,0.0010770885,0.0005436347,0.0019129077,0.0009099569,0.0007810496,0.0006041638,0.0037305478,0.0002778997,0.0005494766,0.0009396187,2.7190201e-06,0.0015382454,0.0025233633,0.00027349993,0.003258953,0.00010681609
"Parahippocampal Gyrus, posterior division",8.440886e-05,0.00056024623,0.0033636459,0.00028140252,0.0024264934,0.0010193828,0.00089013187,0.00013711746,0.00023967755,0.0020688178,0.00022010897,0.00043642143,0.001889499,0.00070559856,0.0014796802,8.912125e-05
"Parahippocampal Gyrus, anterior division",2.0378495e-06,0.000102318416,0.0017173215,0.00029668066,0.0015640239,0.0008897748,0.0017180034,0.00022766435,0.0004739813,0.00070455746,9.6236196e-05,0.0014451619,0.0016628505,8.726624e-05,0.0024108612,0.00077116775
Planum Polare,0.00012017629,0.0008888367,0.0008881438,0.00047087457,0.00018523725,0.000909096,0.0009437114,0.0007783312,0.0005107857,0.0008050812,0.0010013822,0.0018472405,0.0010114481,0.0008977457,0.0018459482,0.0006724672
Heschl's Gyrus (includes H1 and H2),2.1960258e-08,3.7656275e-06,3.1195985e-05,2.0258483e-05,5.343713e-05,0.0016849436,0.0003554351,7.4048703e-06,1.8450653e-06,2.759144e-06,0.00020292724,0.0001158644,0.008444497,0.00043910035,0.0009630237,0.00055820163
Insular Cortex,0.00024899162,0.00062920444,0.00061284663,0.00012059074,0.00089738437,0.0011420649,0.001811246,0.0006589835,0.00091644045,0.0004185137,0.000749579,0.00089593284,0.000722459,0.0012011083,0.0007135001,0.00032951977
"Inferior Temporal Gyrus, anterior division",0.0011650403,0.00040651855,0.0003145781,0.00023382949,0.001017137,0.0007952446,0.00298917,0.00085178134,0.00072338653,0.00031838854,2.7801193e-06,0.00030411134,0.00019011534,1.0598623e-06,0.0016036127,7.795899e-05
"Cingulate Gyrus, anterior division",1.4870593e-05,4.4698318e-05,0.00050175254,0.00012454369,0.0006143351,0.0003191813,0.0011126467,0.00012359094,0.0005440904,0.0005845378,0.00030805485,0.0012729062,0.0014098557,0.0003672071,0.0028268392,0.0006718822
Frontal Medial Cortex,0.00061877945,0.00078172836,0.0008140313,0.00052456267,7.973202e-05,0.0006920727,0.0023677507,0.0026590673,5.4638904e-06,0.0003398707,8.860849e-06,0.0013102845,5.2300307e-05,0.00011583829,0.00045221602,2.4607505e-06
